record_ID,payment_Type,amount_Paid
9242,Debit Card,76.39
93216,Credit Card,24.26
73846,Cash,61.61
99512,Bank Transfer,21.15
84395,Bank Transfer,46.36
4280,Debit Card,13.64
19569,Mobile Pay,80.77
20487,Apple Pay,16.15
59014,Google Pay,49.18
99990,Bank Transfer,34.09
28388,Cash,57.49
42700,Cash,32.7
72249,Credit Card,18.31
94228,Apple Pay,59.19
86677,Google Pay,47.94
50245,Mobile Pay,16.59
35493,Debit Card,18.45
58845,Debit Card,50.13
33707,Mobile Pay,24.08
36834,Debit Card,20.28
99138,Debit Card,4.32
78405,Cash,40.73
38681,Credit Card,37.58
53407,Google Pay,28.44
25717,Apple Pay,29.44
6878,Apple Pay,11.3
53915,Cash,10.47
52809,Mobile Pay,43.79
82406,Bank Transfer,72.16
2988,Credit Card,107.56
54423,Bank Transfer,28.57
76631,Apple Pay,28.13
80027,Google Pay,14.87
10967,Google Pay,8.35
24025,Bank Transfer,4.78
69030,Cash,26.65
97523,Credit Card,82.13
39773,Mobile Pay,14.02
68240,Google Pay,15.74
69297,Debit Card,15.24
46,Bank Transfer,11.19
3430,Mobile Pay,25.46
79057,Credit Card,63.71
8521,Credit Card,38.12
77446,Bank Transfer,9.26
44785,Mobile Pay,4.51
86217,Cash,77.12
7616,Google Pay,102.03
71117,Debit Card,82.26
62549,Bank Transfer,97.89
79518,Google Pay,45.34
97323,Google Pay,18.2
98701,Google Pay,44.3
26279,Debit Card,57.01
97006,Debit Card,49.72
32982,Credit Card,33.01
4283,Bank Transfer,6.01
69107,Credit Card,85.61
75658,Bank Transfer,36.87
37466,Mobile Pay,82.72
9094,Debit Card,35.27
38706,Mobile Pay,10.94
81889,Apple Pay,30.96
33347,Credit Card,25.93
389,Cash,7.64
61165,Bank Transfer,40.8
91174,Cash,13.89
26386,Apple Pay,40.64
21313,Mobile Pay,64.01
40072,Mobile Pay,15.23
37311,Debit Card,23.12
23398,Mobile Pay,25.42
36876,Debit Card,7.69
6798,Cash,78.96
53397,Apple Pay,4.76
96354,Bank Transfer,20.11
33906,Cash,50.84
53825,Bank Transfer,18.55
82510,Google Pay,29.74
34944,Mobile Pay,53.01
48027,Credit Card,16.63
98150,Credit Card,59.19
73710,Bank Transfer,73.01
71689,Google Pay,32.71
30520,Credit Card,26.7
44379,Bank Transfer,21.38
21322,Google Pay,1.87
34457,Cash,15.92
61053,Mobile Pay,109.05
77853,Bank Transfer,55.62
86772,Bank Transfer,75.03
38789,Debit Card,103.73
93847,Bank Transfer,116.19
99256,Google Pay,45.67
752,Cash,113.56
33700,Credit Card,9.64
46600,Credit Card,10.8
34770,Debit Card,32.02
32632,Mobile Pay,9.56
21029,Mobile Pay,2.07
15261,Cash,17.52
64133,Cash,58.42
37927,Credit Card,53.86
36899,Mobile Pay,84.38
44558,Debit Card,37.19
2363,Bank Transfer,25.29
2926,Google Pay,22.4
87279,Cash,30.74
46136,Cash,25.64
70344,Cash,47.11
18370,Debit Card,20.34
15370,Google Pay,18.96
70534,Credit Card,39.63
65650,Mobile Pay,30.95
96429,Credit Card,62.39
57463,Credit Card,64.51
47012,Debit Card,13.18
11441,Google Pay,61.14
57778,Apple Pay,17.61
70877,Debit Card,37.15
16740,Google Pay,6.09
18367,Mobile Pay,39.65
75111,Debit Card,92.18
48426,Google Pay,24.06
78362,Google Pay,28.2
26424,Cash,6.7
85743,Google Pay,36.66
66315,Bank Transfer,21.15
46500,Mobile Pay,37.43
83565,Credit Card,19.89
36624,Cash,4.26
26643,Credit Card,24.77
52581,Apple Pay,20.68
70309,Google Pay,11.09
45321,Google Pay,113.01
15072,Cash,6.4
72276,Mobile Pay,9.23
38266,Apple Pay,47.24
89455,Debit Card,4.56
32159,Debit Card,79.76
56149,Mobile Pay,30.33
76553,Cash,34.74
37989,Credit Card,25.06
50071,Mobile Pay,31.05
18621,Cash,21.44
77942,Debit Card,9.76
53998,Apple Pay,87.38
14294,Bank Transfer,21.5
49461,Debit Card,5.5
51314,Bank Transfer,6.24
21071,Apple Pay,15.71
32205,Cash,37.64
20850,Mobile Pay,44.75
27382,Debit Card,51.12
70727,Apple Pay,35.73
3584,Cash,74.9
74215,Apple Pay,11.25
37754,Bank Transfer,23.78
34719,Bank Transfer,34.61
47440,Credit Card,59.23
23880,Apple Pay,101.37
77332,Cash,40.15
37560,Google Pay,5.91
88395,Bank Transfer,85.46
34791,Apple Pay,28.86
32252,Cash,61.23
57705,Cash,23.97
24142,Bank Transfer,38.06
29069,Mobile Pay,22.07
19521,Mobile Pay,52.58
56445,Apple Pay,63.7
82133,Mobile Pay,103.42
48631,Bank Transfer,9.64
91110,Credit Card,25.03
61194,Google Pay,59.76
81712,Apple Pay,35.62
11145,Credit Card,16.09
31001,Cash,46.6
83477,Credit Card,7.92
64036,Google Pay,31.43
35476,Google Pay,84.52
85995,Bank Transfer,43.63
76216,Cash,12.01
79819,Credit Card,36.55
28817,Google Pay,42.95
36567,Debit Card,39.77
7581,Debit Card,36.24
51542,Cash,45.88
49081,Google Pay,35.62
73401,Cash,47.74
11436,Debit Card,53.1
69520,Google Pay,20.87
50906,Debit Card,58.83
12229,Google Pay,6.15
60635,Credit Card,32.25
37527,Google Pay,61.92
68455,Credit Card,69.05
67228,Apple Pay,53.35
13885,Bank Transfer,28.09
99802,Google Pay,17.09
44136,Debit Card,19.13
64397,Credit Card,45.68
46513,Cash,79.74
61864,Google Pay,12.67
37874,Apple Pay,13.65
79993,Bank Transfer,14.37
26567,Credit Card,16.49
13123,Debit Card,24.16
96290,Apple Pay,21.58
80491,Bank Transfer,24.09
94889,Apple Pay,57.52
27605,Apple Pay,67.88
69484,Google Pay,43.57
13963,Bank Transfer,24.89
96270,Apple Pay,24.91
65670,Credit Card,71.31
4473,Mobile Pay,6.82
53771,Cash,21.32
4032,Credit Card,20.13
12090,Mobile Pay,45.63
23943,Google Pay,68.57
88541,Mobile Pay,2.9
12187,Google Pay,63.07
27004,Bank Transfer,82.68
96433,Cash,21.6
33287,Mobile Pay,60.66
2821,Bank Transfer,36.88
47779,Debit Card,31.35
4086,Apple Pay,86.08
44825,Google Pay,37.13
1976,Cash,1.9
65762,Mobile Pay,38.45
36717,Bank Transfer,90.46
23876,Debit Card,50.85
54489,Apple Pay,19.62
40003,Credit Card,28.02
99352,Credit Card,9.77
55424,Bank Transfer,8.1
57596,Credit Card,27.83
30871,Debit Card,64.27
19130,Credit Card,4.53
46154,Cash,23.77
11260,Bank Transfer,8.09
75853,Debit Card,54.19
24518,Mobile Pay,54.54
31569,Debit Card,97.74
53970,Apple Pay,5.78
65850,Bank Transfer,5.47
54248,Debit Card,4.25
38146,Credit Card,115.5
93116,Apple Pay,117.96
41342,Google Pay,67.75
58688,Apple Pay,83.28
59928,Google Pay,11.68
29732,Bank Transfer,99.12
83551,Bank Transfer,22.01
28158,Debit Card,24.74
91498,Credit Card,49.6
84681,Apple Pay,101.21
70285,Mobile Pay,127.4
4920,Cash,32.84
3243,Credit Card,52.07
39932,Google Pay,7.53
96453,Cash,22.05
307,Mobile Pay,61.6
55370,Debit Card,17.74
89371,Mobile Pay,9.06
32821,Bank Transfer,57.73
96104,Apple Pay,20.47
98026,Cash,95.12
45627,Bank Transfer,12.32
76333,Bank Transfer,13.02
99665,Credit Card,5.57
93051,Cash,16.68
46765,Credit Card,20.69
709,Google Pay,99.77
79834,Apple Pay,48.0
39923,Apple Pay,7.71
33245,Apple Pay,16.09
55008,Cash,48.3
77313,Mobile Pay,56.17
72344,Debit Card,30.49
67528,Mobile Pay,54.73
82482,Apple Pay,20.75
89575,Debit Card,49.39
83739,Credit Card,52.79
72379,Mobile Pay,54.64
51060,Debit Card,29.29
33430,Bank Transfer,6.02
34901,Cash,113.56
31781,Bank Transfer,8.73
5032,Debit Card,2.65
73957,Apple Pay,36.06
81393,Apple Pay,38.15
24718,Debit Card,18.09
52332,Mobile Pay,73.97
81011,Credit Card,9.09
31292,Google Pay,8.49
39728,Mobile Pay,26.0
84185,Apple Pay,13.32
93747,Apple Pay,17.27
67811,Debit Card,91.36
54502,Bank Transfer,28.7
9602,Cash,94.56
96927,Cash,18.49
12480,Google Pay,7.86
45635,Bank Transfer,23.92
92063,Credit Card,6.23
65667,Cash,61.08
60036,Cash,59.62
25832,Apple Pay,9.13
63484,Apple Pay,19.5
6478,Debit Card,70.05
85862,Credit Card,33.85
46104,Credit Card,38.9
88911,Credit Card,53.17
62593,Credit Card,43.53
68592,Google Pay,28.83
88950,Apple Pay,94.05
32584,Debit Card,13.85
62428,Apple Pay,98.37
96870,Debit Card,20.94
66554,Cash,29.52
30473,Apple Pay,100.81
69388,Debit Card,26.93
40830,Bank Transfer,80.2
72346,Cash,48.15
97539,Debit Card,45.76
34640,Bank Transfer,37.05
47803,Mobile Pay,7.58
37494,Credit Card,11.12
93838,Debit Card,44.61
10084,Mobile Pay,63.04
48817,Apple Pay,58.98
28780,Apple Pay,18.12
13718,Apple Pay,90.82
41681,Credit Card,94.34
17811,Debit Card,73.62
17048,Cash,12.72
31685,Cash,10.96
5331,Debit Card,51.62
85256,Cash,51.69
44394,Debit Card,23.28
2221,Google Pay,50.96
60972,Credit Card,57.34
62050,Debit Card,22.01
21918,Google Pay,10.0
62614,Google Pay,112.92
92165,Google Pay,69.75
34849,Bank Transfer,35.34
80063,Mobile Pay,9.41
47771,Credit Card,17.62
87138,Debit Card,66.31
33188,Debit Card,10.89
16798,Cash,12.39
12125,Google Pay,14.06
65439,Google Pay,6.95
65856,Bank Transfer,14.57
42153,Credit Card,1.74
91305,Credit Card,32.66
39467,Credit Card,27.64
27930,Credit Card,93.83
50942,Credit Card,58.46
86983,Google Pay,57.24
49548,Debit Card,20.17
90273,Debit Card,2.43
13019,Google Pay,65.96
78410,Credit Card,37.34
53170,Google Pay,37.71
1538,Cash,13.41
38768,Cash,68.1
60379,Debit Card,61.7
77258,Debit Card,27.31
40849,Google Pay,31.66
35257,Bank Transfer,38.09
11006,Apple Pay,23.22
77029,Mobile Pay,3.34
40732,Credit Card,10.87
75290,Mobile Pay,25.51
12276,Apple Pay,43.96
55655,Mobile Pay,27.7
1384,Credit Card,29.69
40378,Debit Card,10.88
66818,Apple Pay,2.87
14910,Bank Transfer,5.59
23979,Debit Card,32.6
82211,Debit Card,29.07
40542,Google Pay,28.9
28648,Apple Pay,68.55
1378,Credit Card,48.08
70419,Credit Card,7.32
28068,Bank Transfer,89.66
3802,Apple Pay,43.94
60627,Credit Card,54.89
66090,Google Pay,58.42
61812,Debit Card,27.58
37326,Google Pay,49.33
47964,Credit Card,77.69
3333,Cash,11.08
53513,Credit Card,20.89
84697,Bank Transfer,8.69
47034,Debit Card,35.49
96894,Cash,59.81
30686,Apple Pay,31.53
68167,Credit Card,89.36
48065,Google Pay,43.74
72940,Credit Card,38.64
25967,Bank Transfer,16.06
35412,Apple Pay,52.23
76786,Google Pay,101.04
22322,Mobile Pay,22.93
21607,Cash,38.27
20889,Debit Card,22.85
26245,Cash,4.74
17059,Google Pay,22.74
1517,Cash,7.64
94462,Apple Pay,4.75
12558,Credit Card,69.9
55916,Cash,91.18
83180,Apple Pay,38.86
65855,Debit Card,35.45
70226,Cash,5.48
44484,Mobile Pay,9.75
36420,Credit Card,24.66
30220,Debit Card,65.73
8062,Bank Transfer,21.1
46207,Credit Card,45.78
26951,Debit Card,49.74
52983,Debit Card,10.35
60779,Cash,32.73
33266,Google Pay,7.14
50910,Cash,39.38
50838,Mobile Pay,26.6
57163,Google Pay,34.02
84196,Cash,27.88
99931,Credit Card,50.61
53834,Debit Card,26.9
317,Bank Transfer,31.07
29676,Cash,40.41
21104,Mobile Pay,27.31
27542,Cash,47.88
68283,Bank Transfer,57.85
36505,Debit Card,41.25
69456,Credit Card,57.13
48728,Cash,46.65
45904,Credit Card,62.1
42791,Cash,2.21
2373,Bank Transfer,2.47
52351,Apple Pay,40.67
54371,Bank Transfer,69.31
98345,Mobile Pay,16.0
24842,Google Pay,17.82
97468,Bank Transfer,3.06
91600,Credit Card,26.87
10341,Debit Card,26.56
60147,Bank Transfer,115.19
59706,Mobile Pay,93.19
34049,Google Pay,49.67
82216,Mobile Pay,60.4
73659,Cash,15.67
76740,Bank Transfer,2.48
41604,Google Pay,91.62
69471,Mobile Pay,46.26
9695,Debit Card,91.53
40279,Mobile Pay,12.2
6127,Google Pay,17.45
23071,Bank Transfer,92.98
4745,Mobile Pay,75.36
33582,Bank Transfer,102.26
34421,Bank Transfer,127.49
28226,Debit Card,8.72
10062,Credit Card,31.97
70933,Bank Transfer,17.83
95414,Apple Pay,5.52
94894,Google Pay,80.28
2550,Mobile Pay,4.44
98603,Debit Card,30.57
74152,Cash,65.33
98657,Apple Pay,11.46
26290,Debit Card,49.92
54777,Cash,81.13
52974,Debit Card,9.06
82715,Google Pay,67.7
73132,Mobile Pay,21.4
15516,Google Pay,108.07
27094,Google Pay,18.89
36063,Apple Pay,62.19
57303,Cash,83.61
14306,Cash,27.12
65287,Mobile Pay,125.44
26339,Bank Transfer,13.3
29203,Debit Card,41.75
43057,Debit Card,7.56
35125,Credit Card,18.0
77150,Apple Pay,59.45
79919,Cash,8.08
70943,Cash,58.51
75952,Bank Transfer,23.09
54757,Cash,3.85
31225,Google Pay,67.86
2889,Google Pay,55.96
96432,Cash,86.57
13985,Credit Card,9.24
15094,Google Pay,19.89
15633,Apple Pay,10.68
256,Credit Card,23.32
46590,Cash,31.65
10339,Mobile Pay,59.42
46301,Debit Card,31.99
35032,Google Pay,48.09
83254,Debit Card,87.86
99847,Bank Transfer,58.41
19533,Bank Transfer,19.78
3122,Debit Card,69.33
94904,Cash,7.88
51371,Bank Transfer,9.18
605,Credit Card,10.24
33447,Bank Transfer,18.41
30231,Debit Card,12.25
27402,Debit Card,65.55
60911,Bank Transfer,29.52
31137,Debit Card,71.45
72192,Debit Card,52.13
67738,Bank Transfer,38.45
36388,Mobile Pay,4.11
83345,Bank Transfer,15.56
33295,Credit Card,109.72
95868,Google Pay,68.21
95870,Debit Card,10.35
81240,Bank Transfer,9.27
9683,Debit Card,40.0
57576,Apple Pay,65.44
85472,Apple Pay,22.22
17010,Credit Card,27.78
50163,Mobile Pay,12.96
68100,Google Pay,51.35
3871,Apple Pay,46.52
30937,Mobile Pay,65.3
65171,Credit Card,10.0
92109,Bank Transfer,61.58
34385,Google Pay,48.26
19500,Mobile Pay,36.99
6990,Cash,18.15
17704,Google Pay,46.93
41401,Debit Card,31.98
25479,Credit Card,27.95
51014,Debit Card,3.47
43639,Debit Card,3.67
21250,Google Pay,8.08
4663,Mobile Pay,82.05
25142,Google Pay,58.39
14061,Cash,56.93
93957,Mobile Pay,59.14
19559,Apple Pay,65.57
9174,Credit Card,17.74
41662,Apple Pay,98.22
81367,Mobile Pay,26.64
91348,Debit Card,12.1
9748,Cash,27.92
99171,Debit Card,60.46
65,Bank Transfer,20.72
50488,Google Pay,42.61
86127,Cash,89.71
81454,Mobile Pay,14.32
46365,Mobile Pay,9.29
41177,Debit Card,46.87
15252,Credit Card,5.84
43292,Google Pay,57.52
82448,Debit Card,48.0
20470,Apple Pay,3.55
20234,Apple Pay,33.5
8341,Google Pay,22.62
91980,Credit Card,35.25
73119,Bank Transfer,56.56
96529,Mobile Pay,37.2
47977,Debit Card,39.92
18708,Apple Pay,89.17
75545,Mobile Pay,30.53
21917,Debit Card,13.06
37970,Bank Transfer,24.28
75788,Mobile Pay,93.6
31407,Debit Card,84.53
68756,Apple Pay,103.4
83409,Credit Card,7.63
54894,Google Pay,17.05
60892,Cash,17.73
3659,Debit Card,51.49
95861,Bank Transfer,75.21
18602,Mobile Pay,24.89
34452,Debit Card,11.75
33260,Mobile Pay,17.95
84887,Debit Card,12.35
90611,Bank Transfer,16.94
54952,Cash,5.23
71220,Google Pay,11.66
27517,Mobile Pay,54.75
67931,Debit Card,72.19
9941,Debit Card,6.83
38085,Mobile Pay,55.19
1245,Debit Card,12.02
39064,Cash,56.14
23604,Cash,47.11
16816,Credit Card,3.5
77574,Debit Card,6.03
29382,Cash,14.56
71531,Apple Pay,20.52
64346,Bank Transfer,9.07
42599,Bank Transfer,12.17
61579,Debit Card,66.39
54691,Cash,38.21
86285,Apple Pay,65.81
58215,Apple Pay,50.63
49573,Cash,69.87
55993,Mobile Pay,35.62
76314,Google Pay,9.75
43911,Bank Transfer,63.68
74683,Mobile Pay,73.72
58487,Apple Pay,20.86
94357,Google Pay,9.22
13559,Cash,38.38
17866,Apple Pay,17.66
70180,Debit Card,7.66
17230,Apple Pay,35.12
92969,Google Pay,46.31
47239,Cash,56.47
69951,Apple Pay,29.17
