record_ID,Quantity,Cost
71446,75,64.73
38659,102,213.54
1171,110,139.63
87316,52,83.67
27514,12,9.17
67613,34,108.04
91552,73,226.73
95554,139,345.54
1253,94,121.23
92155,68,141.02
42605,49,53.62
90046,147,121.56
55361,28,63.34
9538,61,113.66
73368,95,246.64
68595,10,49.64
15263,106,438.05
92948,124,127.0
74143,14,13.3
70955,117,513.73
11881,25,49.05
35185,40,41.65
61446,49,76.11
52494,61,41.95
90744,81,89.29
7271,59,127.82
1128,48,147.8
57413,84,123.77
94395,128,237.73
57299,149,359.44
97426,78,42.49
58350,72,319.91
18686,26,129.63
24696,70,95.18
2688,41,195.98
83236,94,298.85
89344,72,194.82
68053,92,157.92
28305,140,420.9
17378,109,410.94
6558,14,59.51
917,82,247.25
48968,57,224.19
93393,62,179.46
52770,86,296.69
66031,135,608.42
18956,52,179.37
40216,14,45.9
56369,110,233.91
24959,73,105.3
55191,25,100.9
58444,133,357.47
80493,92,206.1
62620,58,158.46
59167,76,104.56
69250,146,132.32
85211,82,119.05
19694,75,301.41
331,74,263.44
22038,99,112.98
4178,30,16.88
42635,96,106.23
52368,135,105.39
52370,98,234.3
12348,120,419.51
47401,108,428.37
60818,95,469.63
13742,113,386.3
60598,87,213.97
58985,147,179.62
23991,110,405.84
10278,90,406.78
76347,128,213.16
35339,23,31.71
4366,104,410.49
8552,137,177.39
76493,24,95.23
2869,23,44.46
94760,20,91.11
14848,100,231.16
29986,93,327.56
51489,60,223.88
24735,42,43.15
61683,45,48.37
54411,51,94.82
322,109,457.22
85072,124,561.17
7487,25,21.39
5656,139,217.25
74540,118,97.31
51724,87,394.95
85368,120,215.38
13062,60,242.82
61041,128,604.34
74508,51,192.46
69726,150,156.74
95579,48,231.9
85060,22,44.02
92483,91,74.46
22331,10,15.03
13111,130,513.01
23860,28,53.92
32243,64,85.39
65574,67,199.4
56985,34,168.48
83464,75,297.87
44221,110,113.1
37034,90,76.11
34750,58,197.09
32401,17,53.87
77689,28,109.53
2422,11,5.54
10966,130,166.03
12985,139,383.21
